Tweet id,Fecha de Publicación,Tweet,Retweets,Favoritos
760979697987645440,Wed Aug 03 23:24:32 +0000 2016,"El apoyo de países, organizaciones y líderes mundiales al proceso es un #SíaLaPaz |Acuerdos? https://t.co/cuQ15Ers3J https://t.co/Xl3CEB6W4l",4,3
760979455766564865,Wed Aug 03 23:23:35 +0000 2016,"El apoyo de países, organizaciones y líderes mundiales al proceso es un #SíaLaPaz |Acuerdos? https://t.co/cuQ15Ers3J https://t.co/jxdu6BQcwB",7,13
760979192389439488,Wed Aug 03 23:22:32 +0000 2016,"El apoyo de países, organizaciones y líderes mundiales al proceso es un #SíaLaPaz |Acuerdos? https://t.co/cuQ15Ers3J https://t.co/CLzTFruQ5J",12,3
760978931264659456,Wed Aug 03 23:21:30 +0000 2016,"El apoyo de países, organizaciones y líderes mundiales al proceso es un #SíaLaPaz |Acuerdos? https://t.co/cuQ15Ers3J https://t.co/gcUkjWiMuz",9,11
760886878409154560,Wed Aug 03 17:15:43 +0000 2016,"No todos los delitos cometidos en el conflicto pueden ser susceptibles de amnistía e indulto: Humberto de la Calle
https://t.co/pgKbfMEM8T",91,76
760849057724059649,Wed Aug 03 14:45:25 +0000 2016,ACUERDO | Una Apertura Democrática para construir la Paz | Conozca la visión del Acuerdo de Participación Política ? https://t.co/CNPTsEJ2mK,22,13
760562569237200896,Tue Aug 02 19:47:01 +0000 2016,"Así es el Sistema Integral de Verdad, Justicia, Reparación y No Repetición | Ver acuerdo ? https://t.co/zofntMDPzL https://t.co/DOBY1mKjMH",49,36
760481943624396800,Tue Aug 02 14:26:39 +0000 2016,"La ambición del proceso no es sólo terminar el conflicto, hay q asegurar q no degenere en otras formas de violencia.
https://t.co/x1HZV3lVP8",88,55
760160805107163136,Mon Aug 01 17:10:33 +0000 2016,¿Qué tanto sabes de los acuerdos de paz? Esta guía te ayudará a entenderlos | Consúltala ? https://t.co/cuQ15Ers3J https://t.co/3in1rkAj6M,76,36
760113945671790593,Mon Aug 01 14:04:21 +0000 2016,Carta a Plinio Mendoza | Por Humberto de la Calle | Leer ? https://t.co/lWiwoEBE6V https://t.co/bJQnoXa9Pd,58,39
760107447503745024,Mon Aug 01 13:38:32 +0000 2016,"Las sociedades tienen q tener forma de resolver sus problemas. El compromiso debería ser acatar  resultado en urnas
https://t.co/bTjb3GwElE",8,6
760104521876008960,Mon Aug 01 13:26:54 +0000 2016,"""Quisiera que el plebiscito fuese el punto de encuentro de los colombianos. Democracia y disenso van de la mano""
 https://t.co/bTjb3GwElE",15,11
759760705855758344,Sun Jul 31 14:40:42 +0000 2016,"UN MITO | ¿Las mujeres no han sido tenidas en cuenta las conversaciones de paz? ¡FALSO! Habla María P. Riveros
https://t.co/kex5GssVRd",69,55
759144940467347459,Fri Jul 29 21:53:52 +0000 2016,"Esta no es una paz política, es una paz para todos: HCalle foro #HaciaElFinDelConflicto ?? https://t.co/Xspqc3H9r6 https://t.co/MjWF7edpLe",23,37
